Provider;AIaaS Baseline Service;Sources;AIaaS Cost Structure;AIaaS Core Functionality;AIaaS Baseline Service Interface;Human Resources;Data Source;Data Types;AI Model Building;AI Model Updates;Service Archetypes;Value Proposition
AWS;"AWS Amazon Bedrock; Chatbots, Callcenter Unterstützung, Gesprächsanalyse -> Omnimodale Kommunkiationsplatform; ";"https://aws.amazon.com/de/ai/use-cases/?use-cases.sort-by=item.additionalFields.priority&use-cases.sort-order=asc&awsf.use-case-area=*all&awsf.industry=*all&awsf.business-function=*all&awsf.business-outcome=*all&awsf.type=*all ; https://aws.amazon.com/de/bedrock/?nc2=h_ql_prod_ml_br";"Pay per Use; Subscription";(Multimodal) LLM;"Inference API; AI Training API";General IT Knowledge;"No Specific Data; Internal Data";"Semi-Structured Data; Unstructured Data";Fine Tuning;On-Demand/Batch;"Support; Automation";"Personalization; Quality; Performance; Convenience"
AWS;"AWS Comprehend  Document Insights; Amazon Comprehend Medica,; Chat with Documents, Intelligent Search ";"https://aws.amazon.com/de/ai/use-cases/?use-cases.sort-by=item.additionalFields.priority&use-cases.sort-order=asc&awsf.use-case-area=*all&awsf.industry=*all&awsf.business-function=*all&awsf.business-outcome=*all&awsf.type=*all; https://docs.aws.amazon.com/de_de/comprehend/latest/dg/concepts-insights.html; https://aws.amazon.com/de/ai/use-cases/?use-cases.sort-by=item.additionalFields.priority&use-cases.sort-order=asc&awsf.use-case-area=*all&awsf.industry=*all&awsf.business-function=*all&awsf.business-outcome=*all&awsf.type=*all";"Pay per Use; Subscription";"NLP; LLM; Other";AI Training API;General IT Knowledge;"Internal Data; Customer Data";Semi-Structured Data;Fine Tuning;On-Demand/Batch;"Support; Automation";"Personalization; Performance; Convenience"
AWS;Amazon Forecast;https://aws.amazon.com/de/forecast/?nc1=h_ls;"Pay per Use; Subscription";Regression;AI Training API;General IT Knowledge;"Internal Data; Customer Data";Structured Data;Full Model Training;"Continuous; Periodic/Batch; On-Demand/Batch";"Analytics; Automation";Insight
AWS;AWS Lookout for Equipment;https://aws.amazon.com/de/lookout-for-equipment/?nc2=h_ql_prod_ml_lfe;Pay Per Use;"Classification, Clustering; Regression";"AI Training API; Task-Specific Services";General IT Knowledge;"Internal Data; Customer Data";Structured Data;Full Model Training;Continuous;"Analytics; Automation";Insight
AWS;AWS Lookout for Metrics;https://aws.amazon.com/de/lookout-for-metrics/?nc2=h_ql_prod_ml_lfm;Pay Per Use;"Classification, Clustering; Regression";"AI Training API; Task-Specific Services";General IT Knowledge;"Internal Data; Customer Data";Structured Data;Full Model Training;Continuous;"Analytics; Automation";Insight
AWS;"AWS Monitron: Product Maintainance (predictive, preventive), Real Time Diagonosis; Improved Field Work";"https://aws.amazon.com/de/monitron/?nc2=h_ql_prod_ml_mtn; https://aws.amazon.com/de/ai/use-cases/?use-cases.sort-by=item.additionalFields.priority&use-cases.sort-order=asc&awsf.use-case-area=*all&awsf.industry=*all&awsf.business-function=*all&awsf.business-outcome=*all&awsf.type=*all ; https://aws.amazon.com/de/lookout-for-equipment/?nc2=h_ql_prod_ml_lfe";Pay Per Use;Regression;"AI Inference API; AI Training API";Specialized AI/DS Knowledge;"Internal Data; Customer Data";Structured Data;Full Model Training;"Continuous; Periodic/Batch; On-Demand/Batch";"Analytics; Automation";Insight
AWS;Amazon Lookout for Vision;https://aws.amazon.com/de/lookout-for-vision/?nc2=h_ql_prod_ml_lfv;Pay Per Use;Computer Vision;AI Training API;General IT Knowledge;"Internal Data; Customer Data";Unstructured Data;Fine Tuning;On-Demand/Batch;"Analytics; Automation";"Efficiency; Performance; Insight; Convenience"
AWS;"AWS Rekognition; AI vision Services (MRT Scans, Error Handling through visual inspection, Workplace Safety, quality control);";"https://aws.amazon.com/rekognition/?nc2=h_ql_prod_ml_rek; https://aws.amazon.com/what-is/computer-vision/; https://aws.amazon.com/de/ai/use-cases/?use-cases.sort-by=item.additionalFields.priority&use-cases.sort-order=asc&awsf.use-case-area=*all&awsf.industry=*all&awsf.business-function=*all&awsf.business-outcome=*all&awsf.type=*all";"Pay per Use; Subscription";Computer Vision;"Inference API; AI Training API";General IT Knowledge;"Internal Data; Customer Data";Unstructured Data;Fine Tuning;On-Demand/Batch;"Analytics; Automation";"Efficiency; Performance; Insight; Convenience"
AWS;"AWS Sagemaker; Amazon Inferentia";"https://aws.amazon.com/de/sagemaker/ ; https://aws.amazon.com/de/ai/machine-learning/inferentia/";Pay per Use;"Classification, Clustering; Regression; Computer Vision; NLP; LLM; Other";AI Infrastructure API;Specialized AI/DS Knowledge;"Internal Data; Customer Data; Public Data; Other External Data";"Unstructured Data; Semi-Structured Data; Structured Data";Fully Configurable;"Continuous; Periodic/Batch; On-Demand/Batch";"Maintainance; Analytics; Automation";"Personalization; Quality; Efficiency; Performance; Insight; Convenience"
AWS;Amazon Augmented AI;https://aws.amazon.com/de/augmented-ai/?nc2=h_ql_prod_ml_aai;Pay per Use;NLP;AI Training API;General IT Knowledge;"Internal Data; Customer Data";Semi-Structured Data;Fine Tuning;On-Demand/Batch;"Support; Automation";"Personalization; Performance; Convenience"
AWS;AWS Entity Resolution;https://aws.amazon.com/entity-resolution/?nc1=h_ls;Pay per Use;"Classification, Clustering; NLP";Task-Specific Services;General IT Knowledge;"Internal Data; Customer Data";"Structured Data; Semi Structured Data";"None; Fine Tuing";None;"Compliance; Analytics; Automation;";"Insight; Quality"
AWS;Amazon Kendra;https://aws.amazon.com/kendra/?nc1=h_ls;Pay per Use;"LLM; NLP";AI Training API;General IT Knowledge;"Internal Data; Customer Data";Semi-Structured Data;Fine Tuning;"On-Demand/Batch; possibly continuous";"Support; Automation";"Personalization; Performance; Convenience"
AWS;Amazon Lex - AI Chat Builder;https://aws.amazon.com/lex/?nc1=h_ls;"Pay per Use; Subscription";(Multimodal) LLM;Task-Specific Services;General IT Knowledge;Internal Data;"Semi-Structured Data; Unstructured Data";Fine Tuning;On-Demand/Batch;"Support; Automation";"Personalization; Quality; Performance; Convenience"
AWS;Amazon Personalize;https://aws.amazon.com/personalize/?nc1=h_ls;"Pay per Use; Subscription";"Classification, Clustering; Regression";AI Training API;General IT Knowledge;Customer Data;Structured Data;Fine Tuning;Continuous;Analytics;Personalization
AWS;AWS Panorama;https://aws.amazon.com/panorama/?nc1=h_ls;"Pay per Use; Subscription";Computer Vision;"Inference API; AI Training API; Infrastructure";General IT Knowledge;"Internal Data; Customer Data";Unstructured Data;Full Model Training;"Continuous; Periodic/Batch; On-Demand/Batch";"Analytics; Automation";"Efficiency; Performance; Insight; Convenience"
Azure;Azure AI Bot Service;https://azure.microsoft.com/en-us/products/ai-services/ai-bot-service;"Pay per Use; Freemium";(Multimodal) LLM;Task-Specific Services;General IT Knowledge;"No Specific Data; Internal Data";"Semi-Structured Data; Unstructured Data";Fine Tuning;On-Demand/Batch;"Support; Automation";"Personalization; Quality; Performance; Convenience"
Azure;"Azure KI Suche; AI Document Intelligence";"https://azure.microsoft.com/de-de/products/ai-foundry/ ; https://azure.microsoft.com/de-de/products/ai-services/ai-document-intelligence/";Pay per Use;"LLM; NLP";Task-Specific Services;IT-Users;"Internal Data; Customer Data";Semi-Structured Data;Fine Tuning;On-Demand/Batch;"Support; Automation";"Personalization; Performance; Convenience"
Azure;AI Azure Anomaly Detector;https://azure.microsoft.com/en-us/products/ai-services/ai-anomaly-detector;Pay Per Use;Regression;"AI Training API; Task-Specific Services";General IT Knowledge;"Internal Data; Customer Data";Structured Data;Full Model Training;Continuous;"Analytics; Automation";Insight
Azure;Azure AI Vision;https://azure.microsoft.com/de-de/products/ai-services/ai-vision;Pay Per Use;Computer Vision;"Inference API; AI Training API";General IT Knowledge;"Internal Data; Customer Data";Unstructured Data;Fine Tuning;On-Demand/Batch;"Analytics; Automation";"Efficiency; Performance; Insight; Convenience"
Azure;Azure AI Infrastructure;https://azure.microsoft.com/en-us/solutions/high-performance-computing/ai-infrastructure;Pay per Use;"Classification, Clustering; Regression; Computer Vision; NLP; LLM; Other";AI Infrastructure API;Specialized AI/DS Knowledge;"Internal Data; Customer Data; Public Data; Other External Data";"Unstructured Data; Semi-Structured Data; Structured Data";Fully Configurable;"Continuous; Periodic/Batch; On-Demand/Batch";"Maintainance; Support; Analytics; Compliance; Automation";"Personalization; Quality; Efficiency; Performance; Insight; Convenience"
Azure;Azure AI Foundry;https://azure.microsoft.com/de-de/products/ai-foundry/;Pay per Use;"LLM; NLP";AI Training API;Specialized AI/DS Knowledge;"Internal Data; Customer Data; Public Data; Other External Data";"Unstructured Data; Semi-Structured Data; Structured Data";;"Continuous; Periodic/Batch; On-Demand/Batch";"Support; Analytics; Automation";"Personalization; Quality; Efficiency; Performance; Convenience"
Azure;Azure Phi Models;https://azure.microsoft.com/de-de/products/phi/;Pay per Use;LLM;"AI Inference API; AI Training API";Specialized AI/DS Knowledge;"Internal Data; Customer Data";"Unstructured Data; Semi-Structured Data";Fine Tuning;"Continuous; Periodic/Batch; On-Demand/Batch";"Support; Automation";"Personalization; Quality; Performance; Convenience"
Azure;Azure AI Language;https://azure.microsoft.com/de-de/products/ai-services/ai-language;Pay per Use;"LLM; NLP";"AI Training API; Task-Specific Services";General IT Knowledge;"Internal Data; Customer Data; Public Data; Other External Data";"Unstructured Data; Semi-Structured Data; Structured Data";;Continuous;"Support; Analytics; Automation";"Personalization; Quality; Efficiency; Performance; Convenience"
BigML;BigML General ML Platform;https://bigml.com/features;Subscription;"Classification, Clustering; Regression; Other";"AI Training API; AI Infrastructure API";Specialized AI/DS Knowledge;"Internal Data; Customer Data; ";Structured Data;Fully Configurable;"Continuous; Periodic/Batch; On-Demand/Batch";"Maintenance; Analytics; Automation";"Performance; Insight; Efficiency"
BigML;BigML OptiML;https://bigml.com/releases/winter-2018;Subscription;"Classification, Clustering; Regression; Other";"AI Inference API; AI Training API";General IT Knowledge;"Internal Data; Customer Data; ";Structured Data;Self-Configuring;"Continuous; Periodic/Batch; On-Demand/Batch";"Maintenance; Analytics; Automation";"Performance; Insight; Efficiency"
clarifai;clarifai GenAI and RAG;https://www.clarifai.com/solutions/generative-ai;"Free; Freemium; Subscription";LLM;AI Training API;Specialized AI/DS Knowledge;"Internal Data; Customer Data";Semi-Structured Data;Fine Tuning;On-Demand/Batch;"Support; Automation";"Personalization; Performance; Convenience"
clarifai;clarifai visual inspection;https://www.clarifai.com/solutions/visual-inspection;"Free; Freemium; Subscription";Computer Vision;"Inference API; AI Training API";General IT Knowledge;"Internal Data; Customer Data";Unstructured Data;Fine Tuning;"Continuous; Periodic/Batch; On-Demand/Batch";"Analytics; Automation";"Efficiency; Performance; Insight; Convenience"
clarifai;clarifai Digital Asset Management;https://www.clarifai.com/solutions/digital-asset-management;"Free; Freemium; Subscription";Classification, Clustering;AI Training API;General IT Knowledge;"Internal Data; Customer Data;";Structured Data;Fully Configurable;"Continuous; On-Demand Batch";"Analytics; Automation";"Personalization; Efficiency; Quality, Performance; Convenience"
clarifai;clarifai Compute Orchestration;https://www.clarifai.com/products/compute-orchestration;"Free; Freemium; Subscription";"Classification, Clustering; Regression; Computer Vision; NLP; LLM; Other";AI Infrastructure API;Specialized AI/DS Knowledge;"Internal Data; Customer Data; Public Data; Other External Data";;Fully Configurable;"Continuous; Periodic/Batch; On-Demand/Batch";"Maintainance; Support; Analytics; Compliance; Automation";"Personalization; Quality; Efficiency; Performance; Insight; Convenience"
Google;"Google AI Customer Engagement Suite; Contact Center as a Service";"https://cloud.google.com/solutions/customer-engagement-ai?hl=de; https://cloud.google.com/solutions/contact-center-ai-platform?hl=en";Pay per Use;(Multimodal) LLM;Task-Specific Services;General IT Knowledge;"No Specific Data; Internal Data";"Semi-Structured Data; Unstructured Data";Fine Tuning;On-Demand/Batch;"Support; Automation";"Personalization; Quality; Performance; Convenience"
Google;Google Vertex AI RAG Engine;https://developers.googleblog.com/en/vertex-ai-rag-engine-a-developers-tool/;Pay per Use;"LLM; NLP";AI Training API;Specialized AI/DS Knowledge;"Internal Data; Customer Data";Semi-Structured Data;Fine Tuning;On-Demand/Batch;"Support; Automation";"Personalization; Performance; Convenience"
Google;Google Cloud Vision AI;https://cloud.google.com/vision?hl=de;Pay Per Use;"Computer Vision; LLM";"Inference API; AI Training API";General IT Knowledge;"Internal Data; Customer Data";Unstructured Data;Fine Tuning;On-Demand/Batch;"Analytics; Automation";"Efficiency; Performance; Insight; Convenience"
Google;Google Cloud ML Infrastructure;https://cloud.google.com/ai-infrastructure?hl=de;Pay per Use;"Classification, Clustering; Regression; Computer Vision; NLP; LLM; Other";AI Infrastructure API;Specialized AI/DS Knowledge;"Internal Data; Customer Data; Public Data; Other External Data";"Unstructured Data; Semi-Structured Data; Structured Data";Fully Configurable;"Continuous; Periodic/Batch; On-Demand/Batch";"Maintainance; Support; Analytics; Compliance; Automation";"Personalization; Quality; Efficiency; Performance; Insight; Convenience"
Google;Google Conversational Agents and Dialogflow;https://cloud.google.com/products/conversational-agents?hl=de;Pay per Use;"LLM; NLP";AI Training API;Specialized AI/DS Knowledge;"Internal Data; Customer Data; Public Data; Other External Data";"Unstructured Data; Semi-Structured Data; Structured Data";;;"Support; Analytics; Automation";"Personalization; Quality; Efficiency; Performance; Convenience"
Google;Google Vertex AI (inkl. AutoML Tables, AutoML Video Intelligence, AutoML Vision, AutML Natural Language, AutoML Translation...);https://cloud.google.com/vertex-ai?hl=en , https://cloud.google.com/automl?hl=de;Pay per Use;"Classification, Clustering; Regression; Computer Vision; NLP; LLM; Other";"AI Training API; AutoML; AI Infrastructure API";Specialized AI/DS Knowledge;"Internal Data; Customer Data; Public Data; Other External Data";;"Fully Configurable; AutoML";"Continuous; Periodic/Batch; On-Demand/Batch";"Maintainance; Support; Analytics; Compliance; Automation";"Personalization; Quality; Efficiency; Performance; Insight; Convenience"
Google;Gemini Cloud Assist;https://cloud.google.com/products/gemini/cloud-assist?hl=en;Pay per Use;LLM;"AI Training API; Task-Specific Services";Specialized AI/DS Knowledge;"Internal Data; Customer Data";"Unstructured Data; Semi-Structured Data";Fine Tuning;Continuous;"Support; Maintainance";"Efficiency; Performance;Quality"
IBM;IBM watsonx Customer Service AI;"https://www.ibm.com/de-de/consulting/customer-service; https://www.ibm.com/products/watsonx-assistant/pricing";Pay per Use;(Multimodal) LLM;"Inference API; AI Training API";General IT Knowledge;"No Specific Data; Internal Data";"Semi-Structured Data; Unstructured Data";Fine Tuning;On-Demand/Batch;Support;"Personalization; Quality; Performance; Convenience"
IBM;IBM Watson Discovery;https://www.ibm.com/products/watson-discovery;Pay per Use;"LLM; NLP";Task-Specific Services;IT-Users;"Internal Data; Customer Data";Semi-Structured Data;Fine Tuning;On-Demand/Batch;"Support; Automation";"Personalization; Performance; Convenience"
IBM;IBM PowerAI Vision;https://www.ibm.com/products/blog/ibm-powerai-vision-a-visual-recognition-ai-solution;Pay Per Use;Computer Vision;Task-Specific Services;General IT Knowledge;"Internal Data; Customer Data";Unstructured Data;Fine Tuning;On-Demand/Batch;"Analytics; Automation";"Efficiency; Performance; Insight; Convenience"
IBM;IBM AI infrstructure solutions;https://www.ibm.com/ai-infrastructure;Pay per Use;"Classification, Clustering; Regression; Computer Vision; NLP; LLM; Other";AI Infrastructure API;Specialized AI/DS Knowledge;"Internal Data; Customer Data; Public Data; Other External Data";"Unstructured Data; Semi-Structured Data; Structured Data";Fully Configurable;"Continuous; Periodic/Batch; On-Demand/Batch";"Maintainance; Analytics; Automation";"Personalization; Quality; Efficiency; Performance; Insight; Convenience"
